"id","model","tags","fields"
,"Basic Quizlet Extended","nix::u5::Động, từ","FrontText: たのしみます || FrontAudio: [sound:naver-31cc2436-42c2dac1-2b0080e0-bd3ebb5a-c4deb365.mp3] || BackText: 楽しみます Thưởng thức || BackAudio:  || Image: <img src=""paste-e273aa3201a7223dd01c9400d1e7c02d6786da47.jpg""> || Add Reverse: 楽しみます Thưởng thức || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định","FrontText: はなしません || FrontAudio: [sound:naver-dd8ce8d8-116a9ebb-7440afee-ec37ed7a-c4e90949.mp3] || BackText: 話しません Không Nói chuyện || BackAudio:  || Image:  || Add Reverse: 話しません Không Nói chuyện || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::QK","FrontText: （みせが）ありました || FrontAudio: [sound:naver-8f15960b-8765df1c-cecd4b3e-0b8e3c0d-824ab39d.mp3] || BackText: （店が）ありました<br>&nbsp;Đã Có (nhà hàng) || BackAudio:  || Image:  || Add Reverse: <br>&nbsp;Đã Có (nhà hàng) || Grammar: "
,"Basic Quizlet Extended","hàng"", đặt","FrontText: ちゅうもんしました || FrontAudio: [sound:naver-9314faa2-c5135be3-85de5b82-05029b4d-47981e64.mp3] || BackText: 注文しました <br>Đã Gọi món || BackAudio:  || Image:  || Add Reverse: 注文しました ""Đã Gọi món || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ","FrontText: すわります || FrontAudio: [sound:naver-57a9aeef-8f434447-a18bbf0f-ea4df1e5-26390e57.mp3] || BackText: 座ります Ngồi || BackAudio:  || Image: <img src=""paste-4254f138ee17cfa1cf7ddf48eba62231d0fc7b95.jpg""> || Add Reverse: 座ります Ngồi || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ","FrontText: （みせが）あります || FrontAudio: [sound:naver-2edec5dc-ac00dfd9-053ccac4-4c7ad74a-2cc1b6cf.mp3] || BackText: （店が）あります Có (nhà hàng) || BackAudio:  || Image:  || Add Reverse: （店が）あります Có (nhà hàng) || Grammar: Dành cho vật"
,"Basic Quizlet Extended","hàng"", đặt","FrontText: ちゅうもんしません || FrontAudio: [sound:naver-4630893e-a1aa2523-f40a4343-41eb2c98-401a2cfd.mp3] || BackText: 注文しません <br>Không Gọi món || BackAudio:  || Image:  || Add Reverse: 注文しません <br>Không Gọi món || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::QK","FrontText: （みせに）はいりました || FrontAudio: [sound:naver-e273de1b-31af0007-9ecf561c-d89a8276-b0016633.mp3] || BackText: （店に）入りました <br>&nbsp;Đã Vào trong (cửa hàng) || BackAudio:  || Image:  || Add Reverse: （店に）入りました <br>&nbsp;Đã Vào trong (cửa hàng) || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định","FrontText: （みせに）はいりません || FrontAudio: [sound:naver-e5d72d2a-7bf7e9a6-faa0864d-e141a1d0-e53954be.mp3] || BackText: （店に）入りません<br>&nbsp;Không Vào trong (cửa hàng) || BackAudio:  || Image:  || Add Reverse: （店に）入りません Không Vào trong (cửa hàng) || Grammar: "
,"Basic Quizlet Extended","nix::u5::Động, từ::Phủ, định::QK","FrontText: （みせに）はいりませんでした || FrontAudio: [sound:naver-9011a3ee-38ae5368-16248834-2b5a47e7-6be42d8c.mp3] || BackText: （店に）入りませんでした <br>Đã không Vào trong (cửa hàng) || BackAudio:  || Image:  || Add Reverse: （店に）入りませんでした <br>Đã không Không Vào trong (cửa hàng) || Grammar: "
